experiment,host,cpu,memory,duration
SFCs:4-Topology:0.5,h9,0.0012410507723513808,36.64453125,2.0
SFCs:4-Topology:0.5,h10,0.0010966379116709667,36.609375,2.0
SFCs:4-Topology:0.5,h12,0.0007609998760074396,37.0703125,2.0
SFCs:4-Topology:0.5,h14,0.0007699004799504568,36.51171875,2.0
SFCs:4-Topology:0.5,h13,0.0010755115175941714,36.53515625,2.0
SFCs:4-Topology:0.5,h11,0.0008063728278999242,35.6484375,2.0
SFCs:4-Topology:0.5,h4,0.0008695144716454912,35.98828125,2.0
SFCs:4-Topology:0.5,h3,0.4253546786407767,2713.8203125,2.0
SFCs:4-Topology:0.5,h2,0.2471305705515879,2581.3828125,2.0
SFCs:4-Topology:0.5,h1,0.25481578450506626,940.796875,2.0
SFCs:4-Topology:0.5,h6,0.0010432288019863439,36.7109375,2.0
SFCs:4-Topology:0.5,h5,0.0009256292971793673,36.8046875,2.0
SFCs:4-Topology:0.5,h7,0.0011262261559591028,36.30859375,2.0
SFCs:4-Topology:0.5,h8,0.001218541822721598,36.0234375,2.0
SFCs:4-Topology:0.5,h10,0.0014074599114909203,36.609375,2.0
SFCs:4-Topology:0.5,h9,0.001110556383628589,36.64453125,2.0
SFCs:4-Topology:0.5,h13,0.001184542207296596,36.5390625,2.0
SFCs:4-Topology:0.5,h14,0.0007535060289764761,36.51171875,2.0
SFCs:4-Topology:0.5,h11,0.0007581440199594574,35.65234375,2.0
SFCs:4-Topology:0.5,h12,0.0007141786662597284,37.0703125,2.0
SFCs:4-Topology:0.5,h2,0.26003099239096816,2583.9453125,2.0
SFCs:4-Topology:0.5,h3,0.2634725913473424,2716.29296875,2.0
SFCs:4-Topology:0.5,h6,0.001174363400309119,36.71484375,2.0
SFCs:4-Topology:0.5,h4,0.001056030015128593,35.98828125,2.0
SFCs:4-Topology:0.5,h1,0.24720728108776266,945.28515625,2.0
SFCs:4-Topology:0.5,h8,0.0012009921138085666,36.0234375,2.0
SFCs:4-Topology:0.5,h9,0.0013853974934241065,36.6484375,2.0
SFCs:4-Topology:0.5,h5,0.0010509801205750503,36.8046875,2.0
SFCs:4-Topology:0.5,h12,0.0007753274358181255,37.0703125,2.0
SFCs:4-Topology:0.5,h7,0.0009767922065872894,36.30859375,2.0
SFCs:4-Topology:0.5,h14,0.0006665365381708239,36.51171875,2.0
SFCs:4-Topology:0.5,h11,0.0007749388639529484,35.65234375,2.0
SFCs:4-Topology:0.5,h13,0.0012718345828295042,36.54296875,2.0
SFCs:4-Topology:0.5,h10,0.0011798328800988874,36.6171875,2.0
SFCs:4-Topology:0.5,h1,0.24566244918083943,946.66796875,2.0
SFCs:4-Topology:0.5,h4,0.0009011362678239305,35.98828125,2.0
SFCs:4-Topology:0.5,h2,0.5893795784946236,2603.28125,2.0
SFCs:4-Topology:0.5,h6,0.0009759657701711492,36.71484375,2.0
SFCs:4-Topology:0.5,h3,0.4530689122981367,2756.03515625,2.0
SFCs:4-Topology:0.5,h7,0.0009164688192169709,36.30859375,2.0
SFCs:4-Topology:0.5,h5,0.0011755425778863775,36.8046875,2.0
SFCs:4-Topology:0.5,h8,0.0013348974954184485,36.0234375,2.0
SFCs:4-Topology:0.5,h9,0.0010859655430711611,36.6484375,2.0
SFCs:4-Topology:0.5,h10,0.0011953335205116206,36.6171875,2.0
SFCs:4-Topology:0.5,h14,0.0006937955112219452,36.51171875,2.0
SFCs:4-Topology:0.5,h12,0.0007842096197892808,37.078125,2.0
SFCs:4-Topology:0.5,h11,0.0008966709516380656,35.65234375,2.0
SFCs:4-Topology:0.5,h13,0.0010888915228348863,36.54296875,2.0
SFCs:4-Topology:0.5,h2,0.30609634386605783,2606.41015625,2.0
SFCs:4-Topology:0.5,h4,0.0009797023313646255,35.98828125,2.0
SFCs:4-Topology:0.5,h3,0.2886233787618899,2758.5390625,2.0
SFCs:4-Topology:0.5,h1,0.42720130742305373,945.9765625,2.0
SFCs:4-Topology:0.5,h6,0.0009864791480166692,36.71484375,2.0
SFCs:4-Topology:0.5,h7,0.0010117019801980198,36.30859375,2.0
SFCs:4-Topology:0.5,h9,0.0009805478368355995,36.6484375,2.0
SFCs:4-Topology:0.5,h5,0.0010299285978999382,36.8046875,2.0
SFCs:4-Topology:0.5,h8,0.0011775430467571644,36.0234375,2.0
SFCs:4-Topology:0.5,h10,0.0012283119566898685,36.6171875,2.0
SFCs:4-Topology:0.5,h11,0.0007847097163548582,35.65234375,2.0
SFCs:4-Topology:0.5,h12,0.0007751516014234876,37.078125,2.0
SFCs:4-Topology:0.5,h13,0.0011179249245624624,36.54296875,2.0
SFCs:4-Topology:0.5,h14,0.0007993562994522216,36.51171875,2.0
SFCs:4-Topology:0.5,h2,0.2836134102737619,2609.109375,2.0
SFCs:4-Topology:0.5,h1,0.2428538852837152,947.046875,2.0
SFCs:4-Topology:0.5,h5,0.0010508949569495694,36.8046875,2.0
SFCs:4-Topology:0.5,h3,0.4106188094255352,2766.78515625,2.0
SFCs:4-Topology:0.5,h4,0.0008410099569760295,35.98828125,2.0
