experiment,sfc,requests,average_latency,duration
SFCs:4-Topology:0.5,sfc0-one,14,6766.166184428571,2.0
SFCs:4-Topology:0.5,sfc1-one,3,5319.537281333333,2.0
SFCs:4-Topology:0.5,sfc2-one,3,11186.222730333335,2.0
SFCs:4-Topology:0.5,sfc3-one,7,6936.724123714286,2.0
SFCs:4-Topology:0.5,sfc0-one,13,6320.617846076923,2.0
SFCs:4-Topology:0.5,sfc1-one,6,3791.4320178333332,2.0
SFCs:4-Topology:0.5,sfc2-one,3,4633.429306666667,2.0
SFCs:4-Topology:0.5,sfc3-one,7,14821.087496571428,2.0
SFCs:4-Topology:0.5,sfc0-one,12,5979.394976749998,2.0
SFCs:4-Topology:0.5,sfc1-one,1,10278.28307,2.0
SFCs:4-Topology:0.5,sfc2-one,3,4439.343073666666,2.0
SFCs:4-Topology:0.5,sfc3-one,4,3092.4839467499996,2.0
SFCs:4-Topology:0.5,sfc0-one,9,3194.535463777778,2.0
SFCs:4-Topology:0.5,sfc1-one,6,5685.3079566666665,2.0
SFCs:4-Topology:0.5,sfc2-one,4,8182.6466065,2.0
SFCs:4-Topology:0.5,sfc3-one,6,10119.569804166667,2.0
SFCs:4-Topology:0.5,sfc0-one,16,6219.473847249999,2.0
SFCs:4-Topology:0.5,sfc1-one,13,7625.741924000001,2.0
SFCs:4-Topology:0.5,sfc3-one,9,7589.846401777778,2.0
SFCs:4-Topology:0.5,sfc0-one,13,6798.844133615384,2.0
SFCs:4-Topology:0.5,sfc1-one,10,5592.2731989,2.0
SFCs:4-Topology:0.5,sfc3-one,12,5633.822969,2.0
SFCs:4-Topology:0.5,sfc0-one,16,8684.1352843125,2.0
SFCs:4-Topology:0.5,sfc1-one,5,3203.661161,2.0
SFCs:4-Topology:0.5,sfc2-one,1,7700.449202,2.0
SFCs:4-Topology:0.5,sfc3-one,4,5074.184185749999,2.0
SFCs:4-Topology:0.5,sfc0-one,10,3102.1863980000003,2.0
SFCs:4-Topology:0.5,sfc1-one,11,5588.073374272727,2.0
SFCs:4-Topology:0.5,sfc2-one,4,11274.816272749998,2.0
SFCs:4-Topology:0.5,sfc3-one,6,4126.7510105,2.0
SFCs:4-Topology:0.5,sfc0-one,10,5529.3696744,2.0
SFCs:4-Topology:0.5,sfc1-one,6,7198.832954500001,2.0
SFCs:4-Topology:0.5,sfc2-one,3,9037.481236666667,2.0
SFCs:4-Topology:0.5,sfc3-one,5,4985.2287836,2.0
SFCs:4-Topology:0.5,sfc0-one,10,4249.3273175,2.0
SFCs:4-Topology:0.5,sfc1-one,6,6456.494272666667,2.0
SFCs:4-Topology:0.5,sfc2-one,2,7194.1638615,2.0
SFCs:4-Topology:0.5,sfc3-one,8,5211.502887875,2.0
SFCs:4-Topology:0.5,sfc0-one,8,4947.421007625001,2.0
SFCs:4-Topology:0.5,sfc1-one,7,6157.030281714286,2.0
