generation,avg_ar,max_ar,min_ar,avg_latency,max_latency,min_latency
84,0.0671875,0.1875,0.03125,143.2663373769128,491.04477579851886,59.30170366033263
85,0.069375,0.125,0.03125,150.74767626836902,314.234972506909,59.30170366033263
86,0.0709375,0.15625,0.03125,153.72020523703486,362.2513037072205,59.30170366033263
87,0.071875,0.15625,0.03125,156.31505544781982,332.33391411801284,59.30170366033263
88,0.0778125,0.15625,0.03125,173.464971290957,424.12869397207214,59.30170366033263
89,0.0771875,0.15625,0.03125,171.0516230701236,424.8893142446495,59.30170366033263
90,0.078125,0.15625,0.03125,173.8532857714634,464.5495434969793,59.30170366033263
91,0.083125,0.1875,0.03125,186.87637513769553,481.6566401513139,59.30170366033263
92,0.0796875,0.15625,0.03125,177.87762367685994,396.27279316388694,56.77196218816742
93,0.071875,0.125,0.03125,157.68350851093675,374.01217444600127,59.30170366033263
94,0.075625,0.1875,0.03125,171.60234201139374,476.0933942070306,59.30170366033263
95,0.0734375,0.21875,0.03125,161.08541678332392,532.9147406330611,59.30170366033263
96,0.0740625,0.125,0.03125,160.30544233157306,355.8091923652032,59.30170366033263
97,0.0671875,0.125,0.03125,145.56278756232095,335.4557374692719,59.30170366033263
98,0.0703125,0.125,0.03125,158.50633917434865,351.2087374163367,59.30170366033263
99,0.0690625,0.15625,0.03125,152.02467045169158,339.6301555656734,59.30170366033263
100,0.07125,0.15625,0.03125,153.86842715764612,376.81003673780936,59.30170366033263
101,0.071875,0.15625,0.03125,156.02783899203206,420.9489382393824,59.30170366033263
102,0.071875,0.125,0.03125,156.77176160612237,369.2363740761207,59.30170366033263
103,0.07375,0.15625,0.03125,160.61744555740952,382.4370427933728,59.30170366033263
104,0.075625,0.15625,0.03125,166.95915059420997,402.8028842251953,59.30170366033263
105,0.0721875,0.15625,0.03125,158.80284582319166,429.863345789608,59.30170366033263
106,0.076875,0.15625,0.03125,170.86216455067085,434.38320898463064,59.30170366033263
107,0.0803125,0.1875,0.03125,184.14311499693514,471.9466838082941,56.77196218816742
108,0.0803125,0.15625,0.03125,182.15145932027283,427.0093698319204,56.77196218816742
109,0.08125,0.1875,0.03125,184.61969943467997,478.5535050191061,59.30170366033263
110,0.08375,0.1875,0.03125,187.9502290249909,523.2269930253802,59.30170366033263
111,0.0790625,0.15625,0.03125,170.80066490882638,450.6321161242257,56.77196218816742
112,0.079375,0.15625,0.03125,173.51697209916304,389.91428801835434,56.77196218816742
113,0.079375,0.21875,0.03125,177.85907278556206,567.6474030879241,56.77196218816742
114,0.0765625,0.1875,0.03125,170.4225874714515,550.9621634203083,56.77196218816742
115,0.076875,0.1875,0.03125,171.53963720077343,482.7348377886926,56.77196218816742
116,0.074375,0.15625,0.03125,163.69108220695472,391.3859900444697,56.77196218816742
117,0.0740625,0.15625,0.03125,162.89759484505865,371.67339551157755,56.77196218816742
118,0.071875,0.15625,0.03125,154.43042931602787,420.3162561175232,56.77196218816742
119,0.074375,0.15625,0.03125,160.32234561468644,410.3805247890244,56.77196218816742
120,0.074375,0.125,0.03125,155.79022649782593,361.26469124807585,56.77196218816742
121,0.073125,0.125,0.03125,154.94064853924746,358.57554403699584,56.77196218816742
122,0.0759375,0.15625,0.03125,160.72351040390566,357.376123604062,56.77196218816742
123,0.0759375,0.125,0.03125,158.83405727514773,346.5149208714967,56.77196218816742
124,0.0771875,0.15625,0.03125,162.5583228061226,410.68462891203836,56.77196218816742
125,0.0775,0.125,0.0625,163.4208178959134,356.63144771747807,113.54392437633484
126,0.0803125,0.15625,0.0625,175.34199158950938,394.62268399416166,113.54392437633484
127,0.07875,0.15625,0.0625,167.20622724973668,438.25312121034284,113.54392437633484
128,0.0828125,0.15625,0.0625,177.638193984216,392.47426643777675,113.54392437633484
129,0.0871875,0.15625,0.0625,190.5842786489812,392.8082025193749,113.54392437633484
130,0.083125,0.1875,0.0625,178.56955724266976,563.446039058364,113.54392437633484
131,0.086875,0.21875,0.0625,188.3800832745088,575.0624628519909,113.54392437633484
132,0.0878125,0.15625,0.0625,183.34370850506843,402.94014722046944,113.54392437633484
133,0.090625,0.125,0.0625,189.25719933183137,341.9621146523097,113.54392437633484
134,0.0909375,0.15625,0.0625,187.6653902123849,370.63636527433283,113.54392437633484
135,0.0884375,0.15625,0.0625,182.88255336471298,393.81240028000735,113.54392437633484
136,0.093125,0.15625,0.0625,197.75158633550757,469.444478411683,113.54392437633484
137,0.098125,0.1875,0.03125,207.71074299214965,498.56966519714,61.945464038414116
138,0.09375,0.21875,0.0625,199.80631458408908,608.1952265936595,113.54392437633484
139,0.099375,0.21875,0.0625,212.37704912257612,677.5944851109664,113.54392437633484
140,0.098125,0.15625,0.0625,206.52626412276703,412.82436263079893,113.54392437633484
141,0.09375,0.1875,0.0625,192.37597117459606,460.65150788797513,113.54392437633484
142,0.096875,0.21875,0.0625,200.43007184698843,575.2485174641129,113.54392437633484
143,0.1015625,0.1875,0.0625,209.53736352147772,560.5142465522163,113.54392437633484
144,0.10625,0.1875,0.0625,219.33512915592306,487.1002297323844,113.54392437633484
145,0.1109375,0.1875,0.0625,233.33296527474792,523.091510164053,113.54392437633484
146,0.1125,0.1875,0.0625,235.47986628780575,449.1372469989596,116.07366584850006
147,0.1090625,0.21875,0.0625,223.74375554634778,531.3232792557786,113.54392437633484
148,0.1053125,0.15625,0.0625,213.17194890140544,386.26801493130966,113.54392437633484
149,0.103125,0.15625,0.0625,211.27092127258047,411.07913379735174,113.54392437633484
150,0.10875,0.15625,0.0625,227.8643988341728,395.9915016997853,124.19930155512051
151,0.1059375,0.21875,0.0625,220.5248492952346,645.0455290306861,116.07366584850006
152,0.1040625,0.15625,0.0625,212.61667684731185,420.1619037375929,113.54392437633484
153,0.1034375,0.15625,0.0625,210.18938704529796,398.67669350007407,113.54392437633484
154,0.1028125,0.15625,0.0625,205.34621523070084,392.1645240986231,113.54392437633484
155,0.105,0.1875,0.0625,211.97332275111268,516.9866656106831,113.54392437633484
156,0.1065625,0.21875,0.0625,217.99973977416212,576.2360551488374,113.54392437633484
157,0.1034375,0.1875,0.0625,206.19136380487558,480.03706626237664,116.07366584850006
158,0.1040625,0.15625,0.0625,208.90450328520427,394.4947918514254,113.54392437633484
159,0.10125,0.1875,0.0625,197.17978471750016,505.6857892341591,113.54392437633484
160,0.0996875,0.15625,0.0625,193.31868419550534,396.83670568457364,113.54392437633484
161,0.1015625,0.1875,0.0625,200.89134639124492,490.210806185327,113.54392437633484
162,0.106875,0.1875,0.0625,218.66775464166662,473.89390749433375,113.54392437633484
163,0.1025,0.15625,0.0625,203.93636343100076,374.83371438726397,113.54392437633484
164,0.103125,0.15625,0.0625,206.92690287162466,391.6174078687383,113.54392437633484
165,0.10125,0.15625,0.0625,200.69482394685707,402.20518785728075,113.54392437633484
166,0.0984375,0.125,0.0625,191.5436732393155,318.52183499651323,113.54392437633484
167,0.1028125,0.15625,0.0625,203.3095645972465,391.6058574144073,113.54392437633484
168,0.105625,0.15625,0.0625,212.00997585171393,375.94330831428863,113.54392437633484
169,0.1078125,0.15625,0.09375,221.676386890343,413.49687867431135,170.31588656450225
170,0.1040625,0.1875,0.0625,207.00972308599066,483.4350278025726,113.54392437633484
171,0.104375,0.1875,0.0625,210.42773356732405,495.278535426143,113.54392437633484
172,0.1075,0.1875,0.0625,218.04460919651873,492.8719946075572,113.54392437633484
173,0.1075,0.1875,0.09375,215.3558165380759,490.5001844078687,170.31588656450225
174,0.109375,0.1875,0.09375,222.23815356246917,544.5871191693012,170.31588656450225
175,0.1128125,0.1875,0.09375,232.56428819052368,515.7107688709154,170.31588656450225
176,0.114375,0.1875,0.09375,238.53721721448593,501.6130738932117,170.31588656450225
177,0.1128125,0.21875,0.09375,233.52770652009974,572.3373263578188,170.31588656450225
178,0.115625,0.1875,0.09375,243.197360959178,478.97705686237265,170.31588656450225
179,0.116875,0.21875,0.09375,246.70347076825533,539.432629344919,170.31588656450225
180,0.115625,0.21875,0.09375,243.02566583101424,584.609297353978,170.31588656450225
181,0.1146875,0.1875,0.09375,237.27595714223224,496.996580512214,170.31588656450225
182,0.11625,0.1875,0.09375,238.46952284506477,514.6570643676741,170.31588656450225
183,0.12125,0.1875,0.09375,249.01990312136158,486.9417145448869,170.31588656450225
184,0.125,0.1875,0.09375,253.17657534963772,475.6123870450268,170.31588656450225
185,0.1309375,0.21875,0.09375,266.4878567430932,557.675394585124,170.31588656450225
186,0.134375,0.21875,0.09375,272.7063018149225,541.0718595388348,170.31588656450225
187,0.1359375,0.21875,0.09375,274.55295631220645,477.2080593094957,170.31588656450225
188,0.1353125,0.1875,0.09375,273.1803487262172,449.8515569578818,170.31588656450225
189,0.13375,0.1875,0.09375,271.36352110835264,471.2748745676705,170.31588656450225
190,0.1371875,0.21875,0.09375,280.93075731739873,531.6575018610016,170.31588656450225
191,0.1371875,0.1875,0.09375,284.5390131748793,473.3159595101175,170.31588656450225
192,0.13625,0.1875,0.09375,277.93470603925925,481.5273596975343,170.31588656450225
193,0.1334375,0.1875,0.09375,269.27327469752265,481.9275529502442,170.31588656450225
194,0.134375,0.1875,0.09375,270.4446074729223,456.10998288876436,170.31588656450225
195,0.1315625,0.21875,0.09375,264.57118616432416,564.3531778396386,170.31588656450225
196,0.1334375,0.21875,0.09375,268.16874921637117,502.24400900223884,170.31588656450225
197,0.13375,0.21875,0.09375,268.88412180647947,574.9020636677096,170.31588656450225
198,0.1375,0.21875,0.09375,283.0603792234585,556.3363521229468,170.31588656450225
199,0.134375,0.1875,0.09375,270.6960344468116,436.2923517291841,172.84562803666748
200,0.13375,0.1875,0.09375,268.5211759704876,469.9715882594628,172.84562803666748
201,0.136875,0.21875,0.09375,275.1250889069536,587.4648626292469,180.66289026499564
202,0.139375,0.21875,0.125,282.3728287924721,552.0604308304066,229.61759022483488
203,0.1396875,0.25,0.125,281.7838833031663,610.2253806727131,229.61759022483488
204,0.13875,0.21875,0.09375,280.2783308544769,528.7503038738379,172.84562803666748
205,0.13625,0.25,0.09375,270.5019145921566,634.7341734758028,172.84562803666748
206,0.13625,0.21875,0.09375,272.9528416645952,517.2844191853098,170.31588656450225
207,0.1371875,0.21875,0.09375,274.84247676709333,495.98302000046175,170.31588656450225
208,0.14,0.21875,0.09375,282.9775788748794,561.0755346830192,170.31588656450225
209,0.1375,0.21875,0.09375,277.3806242658395,524.1353095324671,170.31588656450225
210,0.135625,0.21875,0.09375,269.85530085442434,499.93050331701573,170.31588656450225
211,0.1384375,0.21875,0.09375,278.9185683316936,527.8026695085091,170.31588656450225
212,0.1409375,0.21875,0.09375,288.6850484331276,590.9036093951013,172.84562803666748
213,0.13625,0.1875,0.09375,273.80995244064246,492.79040657786607,178.01912988691416
214,0.1334375,0.21875,0.09375,261.9585163679983,518.1178468399448,170.31588656450225
215,0.13375,0.1875,0.09375,265.31253626851577,477.37886518380895,172.84562803666748
216,0.136875,0.1875,0.09375,276.0391454911932,476.2259473963345,172.84562803666748
217,0.13375,0.21875,0.09375,264.7979735040466,537.3708684904648,172.84562803666748
218,0.13625,0.21875,0.09375,272.3312653805941,505.1927038197137,172.84562803666748
219,0.1396875,0.25,0.09375,283.15917730104377,622.6199684826379,172.84562803666748
220,0.1421875,0.21875,0.09375,290.2821501820148,594.8497871184024,172.84562803666748
221,0.1378125,0.21875,0.09375,274.95063415181414,467.22246131556193,172.84562803666748
222,0.136875,0.25,0.09375,272.89409500171826,653.172931467403,172.84562803666748
223,0.136875,0.1875,0.09375,275.3169996677852,466.7722497838587,170.31588656450225
224,0.1375,0.1875,0.125,274.28263390769933,461.00588917025004,229.61759022483488
225,0.1403125,0.1875,0.125,282.1618315937797,473.7438470550358,229.61759022483488
226,0.1421875,0.28125,0.125,290.80064713177603,750.9410366971099,229.61759022483488
227,0.14375,0.21875,0.125,294.028029455099,554.293655087936,229.61759022483488
228,0.1396875,0.1875,0.09375,281.8974497236833,478.0812888008088,172.84562803666748
229,0.1346875,0.1875,0.125,266.0985544930561,466.2788709864544,229.61759022483488
230,0.13625,0.1875,0.125,271.9771200231033,461.65318062834115,229.61759022483488
231,0.1365625,0.1875,0.125,272.0755309217809,465.7139973300549,229.61759022483488
232,0.133125,0.1875,0.125,261.5925602263471,480.63632499618257,229.61759022483488
233,0.1371875,0.21875,0.125,274.06677483592216,500.0563997961156,229.61759022483488
234,0.1371875,0.25,0.125,274.6675959379024,628.1921532638138,229.61759022483488
235,0.1384375,0.21875,0.125,277.94291270409855,525.8377277867726,229.61759022483488
236,0.1396875,0.21875,0.09375,283.45603890871513,566.8032399632833,172.84562803666748
237,0.138125,0.21875,0.09375,277.6733350096961,535.6578760405265,172.84562803666748
238,0.1384375,0.21875,0.09375,279.69827072007365,553.2847790125127,172.84562803666748
239,0.14125,0.21875,0.09375,289.8564249393249,490.93489832403253,172.84562803666748
240,0.14,0.21875,0.09375,283.43591186884,552.2812118852844,172.84562803666748
241,0.141875,0.21875,0.09375,291.60306683152953,610.9347775454116,172.84562803666748
242,0.14125,0.21875,0.09375,289.04138400049663,540.2193716245131,186.91764489091932
243,0.140625,0.21875,0.09375,285.5688863520389,581.7705134507879,172.84562803666748
