algorithm,experiment,did_converge,best_latency,best_ar,convergence_time
BEGA 2000,32_2_B_10_2,True,31.0,1.0,2493.93
BEGA 2000,32_2_B_5_0.5,True,39.0,1.0,2462.0
BEGA 2000,32_2_B_5_1,True,33.0,1.0,2228.55
BEGA 2000,32_2_B_5_2,True,33.0,1.0,2359.49
GAHA,32_1_A_10_0.5,False,N/A,N/A,38196.69
GAHA,32_1_A_10_1,False,N/A,N/A,37991.65
GAHA,32_1_A_10_2,False,N/A,N/A,37115.11
GAHA,32_1_A_5_0.5,False,N/A,N/A,39402.84
GAHA,32_1_A_5_1,False,N/A,N/A,39178.85
GAHA,32_1_A_5_2,False,N/A,N/A,39432.14
GAHA,32_1_B_10_0.5,False,N/A,N/A,41185.1
GAHA,32_1_B_10_1,False,N/A,N/A,39845.24
GAHA,32_1_B_10_2,False,N/A,N/A,40040.26
GAHA,32_1_B_5_0.5,False,N/A,N/A,42688.33
GAHA,32_1_B_5_1,False,N/A,N/A,41220.69
GAHA,32_1_B_5_2,False,N/A,N/A,42471.11
GAHA,32_2_A_10_0.5,False,N/A,N/A,43396.17
GAHA,32_2_A_10_1,False,N/A,N/A,42763.31
GAHA,32_2_A_10_2,False,N/A,N/A,42898.23
GAHA,32_2_A_5_0.5,False,N/A,N/A,44942.07
GAHA,32_2_A_5_1,False,N/A,N/A,44193.76
GAHA,32_2_A_5_2,False,N/A,N/A,44951.96
GAHA,32_2_B_10_0.5,False,N/A,N/A,45371.86
GAHA,32_2_B_10_1,False,N/A,N/A,45135.06
GAHA,32_2_B_10_2,False,N/A,N/A,46826.12
GAHA,32_2_B_5_0.5,False,N/A,N/A,47790.73
GAHA,32_2_B_5_1,False,N/A,N/A,46705.56
GAHA,32_2_B_5_2,False,N/A,N/A,47737.18
GDA,48_1_A_10_0.5,False,189.07,1.0,74.84
GDA,48_1_A_10_1,True,44.39,1.0,45.6
GDA,48_1_A_10_2,True,22.37,1.0,31.27
GDA,48_1_A_5_0.5,False,189.9,1.0,74.45
GDA,48_1_A_5_1,True,39.14,1.0,44.77
GDA,48_1_A_5_2,True,29.67,1.0,30.63
GDA,48_1_B_10_0.5,False,240.5,1.0,74.28
GDA,48_1_B_10_1,True,42.28,1.0,44.89
GDA,48_1_B_10_2,True,21.58,1.0,30.77
GDA,48_1_B_5_0.5,False,216.19,1.0,74.64
GDA,48_1_B_5_1,True,75.59,1.0,45.09
GDA,48_1_B_5_2,True,24.72,1.0,31.04
GDA,48_2_A_10_0.5,False,300.46,1.0,90.87
GDA,48_2_A_10_1,False,251.09,1.0,52.26
GDA,48_2_A_10_2,False,9343.45,1.0,35.53
GDA,48_2_A_5_0.5,False,272.03,1.0,90.95
GDA,48_2_A_5_1,True,56.03,1.0,54.16
GDA,48_2_A_5_2,False,6877.75,1.0,35.84
GDA,48_2_B_10_0.5,False,322.68,1.0,90.64
GDA,48_2_B_10_1,False,350.12,1.0,53.7
GDA,48_2_B_10_2,False,2491.35,1.0,36.06
