bin,MAE,MAPE,R2,RMSE,count
4360-4400,770.3003287720588,0.17576422572097553,-6353.963778213916,897.2714206959787,34
4400-4440,776.2791524285715,0.1756994930964614,-5965.7618345037445,891.5721423699425,28
4440-4480,829.4773203981482,0.18593237640744828,-7481.821099612327,979.4950971967321,27
4480-4520,837.1537532378048,0.18610762827498437,-6402.277806954484,970.3273078328735,41
4520-4560,791.3737985357142,0.17444085929498485,-4593.780589507927,921.7126539335101,28
4560-4600,732.9166037784091,0.16001533778767085,-6049.3290747464725,875.471498546986,44
4600-4640,709.4837297647058,0.15359557877000485,-6518.1068815410235,880.7744903290187,34
4640-4680,718.033851712963,0.15402637518341453,-4691.410943462933,812.029881916466,27
4680-4720,746.4351289791664,0.1587850055737101,-6038.308211564059,906.0609068485833,36
4720-4760,770.2013018974358,0.16240711271361524,-7340.970484150322,966.6206908474963,39
4760-4800,982.0586919553573,0.2053062289037007,-9709.838594031196,1078.579608118404,28
4800-4840,934.4133070694445,0.19386556745867345,-13913.85549450067,1170.2404125131177,36
4840-4880,905.3032716574073,0.18641270622205194,-7285.865737322928,1029.135258524918,27
4880-4920,740.4357963365384,0.15104391828255756,-6614.804412634756,876.1908455965741,26
4920-4960,702.4812871465518,0.14214794299575015,-9839.237449964912,879.6345398197825,29
4960-5000,854.9774796041669,0.17167595485835008,-8815.887923103122,964.7727781373266,24
5000-5040,880.6234412395834,0.17537556540036026,-11041.666143939343,1141.3703196923907,24
5040-5080,909.6354012241381,0.17967653318945678,-10090.483686467313,1096.7698987203828,29
5080-5120,708.2258873804348,0.138867482162602,-6610.664107867436,822.352341925948,23
5120-5160,808.9606305681818,0.1573149122601625,-8843.61832233221,990.2436670416271,33
5160-5200,568.3871503452382,0.10972839509397217,-4449.295330474144,691.3274534639309,21
5200-5240,780.0213578951613,0.1495302557117905,-5913.025407309147,884.5755965221491,31
5240-5280,798.7523663586957,0.15182182950592427,-5763.432163106987,1006.4605628450818,23
5280-5320,618.4800591057691,0.11672920533186727,-4436.467407881151,735.1493153746482,26
5320-5360,851.599941875,0.15951769800679258,-7214.108163023514,989.5790210131737,28
5360-5400,808.8769760468751,0.15025885749424472,-7536.167167855264,1053.6120415545556,32
5400-5440,520.0097371979167,0.09595577877575807,-2646.7393246894753,678.2805156407068,24
5440-5480,828.01976632,0.1516761308950273,-8327.724317278888,1000.4876178322482,25
5480-5520,605.9106990600001,0.11012852415034423,-5073.486454497918,733.7370342327291,25
5520-5560,485.00996015625,0.08763812691336799,-3848.700429927614,698.4523052177557,16
5560-5600,840.8511530543477,0.15062392407199568,-9493.052704482776,1272.5929384171081,23
5600-5640,589.67873734375,0.10504351409364607,-6226.708232269671,889.9511691779336,16
5640-5680,470.24645025000007,0.08317408318131206,-4978.215080369374,742.6096967735101,22
5680-5720,421.4806613035713,0.07384935523645561,-5635.457416823927,652.9881337153573,14
5720-5760,606.5518284285714,0.10570192282863265,-3920.3430649439038,877.2657469532489,14
5760-5800,994.647114125,0.17202423613715456,-11877.758635787928,1262.079216845027,20
5800-5840,574.9032918947368,0.09886522381543597,-6682.1570115840195,901.4069437894843,19
5840-5880,572.8841054423076,0.09764560671628629,-5850.631076193416,830.3095852713243,26
5880-5920,758.7003843088235,0.12856593258297794,-8571.009532337075,1056.6171592106384,17
5920-5960,531.3018153194444,0.08944415461825855,-4165.379454352313,822.3686353628168,18
5960-6000,467.1395500294119,0.07811256174311369,-4410.638859833588,693.5881856360692,17
6000-6040,416.6005570750002,0.06915680314893148,-3907.330156423854,579.2587475683944,20
6040-6080,496.75351141666664,0.08192068028953779,-7551.370307522446,921.6876200678729,15
6080-6120,415.99274680000025,0.06823089582604948,-2186.7097412663893,537.3599033061777,10
6120-6160,513.5281961250001,0.0835252771204583,-4487.5404586199,604.7988008624213,12
6160-6200,734.9019078382352,0.11893400960738357,-7680.878595616651,965.5274438181219,17
6200-6240,638.8823083749999,0.10263700283483332,-6590.261530842925,729.2445061306433,8
6240-6280,837.5985357916667,0.13395872365065906,-7305.31875643338,911.4778544951081,6
6280-6320,813.138533232143,0.12915232807960922,-7035.082089545013,1064.9344825979822,14
6320-6360,930.5003831607143,0.1468329112253593,-10906.47882985262,1116.1140062184572,14
6360-6400,854.3263919250003,0.13385878277501795,-7063.86019032631,987.8790195683812,20
6400-6440,1001.6968255657894,0.15595202864647292,-8830.296068066229,1126.5046999003582,19
6440-6480,1014.1746764861111,0.15704678897105606,-12319.131288892206,1189.4442675326557,18
6480-6520,1178.8516438194445,0.18119392870556011,-21848.15721866895,1419.7890228561137,18
6520-6560,1211.5310543,0.1852674291347421,-19503.460078623015,1386.9308512844461,10
6560-6600,1038.52596478125,0.15780984782031487,-9097.26787757585,1139.5864037159247,16
6600-6640,920.3801030454546,0.13907155026072965,-19983.20936003785,992.5744258120616,11
