id,unique_count
49434,17
298,17
77130,17
33924,17
5406,17
39940,17
46842,17
3247,17
23504,17
44587,17
7000,17
76538,17
26814,17
35025,17
75691,17
3899,17
22187,17
14745,17
12644,17
3652,17
46834,17
27512,17
49178,17
6700,17
50606,17
23714,17
40183,17
41660,17
35539,17
31767,17
37051,17
26148,17
62290,17
36968,17
63915,17
72110,17
63712,17
56873,17
53614,17
30578,17
13888,17
19472,17
74497,17
54264,16
1740,16
52204,16
10213,16
69478,16
39609,16
59504,16
544,16
40488,16
64866,16
22283,16
30463,16
33744,16
20107,16
77056,16
10979,16
44730,16
30180,16
27977,16
40380,16
36766,16
36804,16
63600,16
53510,16
70802,16
67464,16
7184,16
71222,16
37154,16
55558,16
65892,16
76876,16
41329,16
74880,16
28396,16
32560,16
19912,16
13486,16
50678,16
57290,16
10655,16
672,16
75529,16
25074,16
31346,16
30546,16
51578,16
43930,16
73758,16
60448,16
30787,16
60829,16
7196,16
35433,16
17578,16
30176,16
23870,16
43938,16
23807,16
36286,16
33816,16
37779,16
76107,16
39013,16
3520,16
74401,16
40306,16
33893,16
36860,16
64030,16
66173,16
28846,16
17538,16
24978,16
56786,16
28669,16
37326,16
46624,16
39180,16
37025,16
14184,16
75040,16
745,16
43684,16
54688,16
77582,16
61388,16
60505,16
508,16
10336,16
38039,16
70602,16
53658,16
69247,16
75464,16
67304,16
39164,16
48938,16
7524,16
17122,16
21056,16
24827,16
77566,16
73052,16
59041,16
53844,16
59280,16
53372,16
25900,16
36768,16
13164,16
29406,16
71702,16
69015,16
11042,16
45928,16
55436,16
19628,16
79980,16
19424,16
55413,16
16534,16
69294,16
5326,16
46870,16
54712,16
23608,16
34205,16
40576,16
66902,16
51211,16
23095,16
31022,16
20318,16
11522,16
6668,16
50782,16
37463,16
66669,16
12042,16
52588,16
52292,16
27060,16
56893,16
20876,16
27037,16
5431,16
64858,16
56770,16
68372,16
178,16
29503,16
31478,16
74140,16
15822,16
43661,16
79532,16
16776,16
60932,16
63930,16
29462,16
57239,16
8537,16
24250,16
32095,16
24590,16
6838,16
30666,16
12026,16
40084,16
41828,16
57307,16
8641,16
10224,16
50862,16
53764,16
14796,16
11538,16
20836,16
40664,16
15460,16
50289,16
58207,16
63858,16
68468,16
52869,16
33542,16
73912,16
8818,16
57639,16
25812,16
2005,16
68405,16
32007,16
9194,16
60218,16
72952,16
32441,16
44106,16
28959,16
15124,16
77786,16
73432,16
47208,16
71063,16
60134,16
43158,16
23432,16
68064,16
7848,16
48440,16
21673,16
3671,16
54301,16
73936,16
31435,16
14680,16
20238,16
40389,16
20536,16
35499,16
48408,16
26754,16
20310,16
50403,16
17970,16
10362,16
6786,16
21816,16
4634,16
68621,16
65130,16
2422,16
24346,16
52668,16
21404,16
3378,16
16792,16
22474,16
24810,16
47153,16
60520,16
6040,16
73618,16
67552,16
13852,16
38330,16
13438,16
27011,16
4674,16
33784,16
65114,16
77278,16
53586,16
60351,16
45553,16
16070,16
38698,16
49299,16
23822,16
2891,16
43790,16
13748,16
7284,16
38730,16
61656,16
77519,16
22595,16
40648,16
37150,16
40484,16
45487,16
70200,16
47014,16
28196,16
62362,16
7501,16
6818,16
10486,16
27068,16
16551,16
48457,16
67725,16
54233,16
20056,16
19937,16
71454,16
34273,16
46791,16
9906,16
23544,16
33606,16
46879,16
73004,16
42623,16
49638,16
39285,16
73614,16
30189,16
29126,16
6742,16
73769,16
36856,16
63569,16
52788,16
68982,16
44242,16
73726,16
43375,16
441,16
30935,16
17194,16
59417,16
51350,16
77064,16
856,16
3412,16
50895,16
43644,16
9567,16
13602,16
50614,16
63729,16
71078,16
58391,16
1788,16
66959,16
30950,16
40158,16
35480,16
70954,16
60194,16
70591,16
3759,16
7621,16
33702,16
38363,16
35666,16
38094,16
51402,16
51514,16
56880,16
55567,16
10839,16
34228,16
2,16
23688,16
9115,16
75850,16
66942,16
73297,16
71710,16
17118,16
37008,16
35779,16
58471,16
63314,16
20009,16
53840,16
10010,16
59617,16
58238,16
23425,16
3605,16
24938,16
8497,16
43123,15
61625,15
65884,15
46152,15
10161,15
65596,15
20392,15
60516,15
6137,15
54256,15
53428,15
63802,15
3946,15
27449,15
380,15
6436,15
77088,15
28308,15
53474,15
59520,15
40832,15
24646,15
79940,15
26648,15
34212,15
32408,15
23656,15
50110,15
61576,15
36199,15
77366,15
40270,15
10942,15
77178,15
27765,15
33821,15
34092,15
61364,15
70446,15
73502,15
20162,15
57028,15
14728,15
73460,15
57418,15
42855,15
1444,15
22515,15
66360,15
25434,15
58146,15
60560,15
41001,15
7317,15
50918,15
68332,15
50491,15
44674,15
50574,15
65940,15
37032,15
63342,15
17190,15
51891,15
40096,15
10042,15
56590,15
9410,15
428,15
47173,15
10156,15
7169,15
36098,15
10686,15
79548,15
25474,15
21169,15
34021,15
78874,15
12107,15
78739,15
60628,15
73365,15
28124,15
60076,15
66724,15
56218,15
23722,15
46798,15
76154,15
3267,15
25011,15
68180,15
76003,15
58678,15
11422,15
71823,15
1193,15
19089,15
53618,15
4318,15
72585,15
30023,15
70722,15
48768,15
42084,15
51746,15
17210,15
26084,15
8931,15
19104,15
57887,15
60013,15
41360,15
50466,15
60916,15
9795,15
69651,15
52961,15
74448,15
32576,15
24158,15
11075,15
39469,15
4694,15
67058,15
50284,15
36627,15
16710,15
30478,15
1273,15
67705,15
42838,15
8012,15
51642,15
24254,15
70365,15
10718,15
30518,15
66489,15
47925,15
28716,15
6814,15
50062,15
18066,15
24907,15
43887,15
49490,15
78378,15
65530,15
74181,15
30256,15
66720,15
54281,15
42686,15
32744,15
56796,15
34345,15
14128,15
45430,15
59176,15
44170,15
16916,15
7268,15
56884,15
10902,15
25459,15
65243,15
28025,15
61029,15
45864,15
77398,15
76555,15
48256,15
62192,15
30224,15
52852,15
50450,15
61792,15
76635,15
51098,15
36880,15
3734,15
63704,15
58050,15
66986,15
62883,15
33344,15
37663,15
69511,15
59448,15
22862,15
30535,15
11754,15
51131,15
21040,15
22562,15
53908,15
23015,15
59813,15
70606,15
10622,15
54749,15
23468,15
9995,15
75970,15
73642,15
48168,15
59545,15
32054,15
43894,15
64402,15
27018,15
48336,15
31398,15
47054,15
70454,15
23866,15
12148,15
22658,15
43175,15
53912,15
22666,15
32800,15
364,15
44535,15
79069,15
75161,15
51050,15
70405,15
75368,15
4679,15
63826,15
39252,15
29375,15
40130,15
31646,15
4399,15
53849,15
55012,15
17004,15
44855,15
3794,15
15364,15
55686,15
70574,15
32126,15
6229,15
12173,15
54736,15
70554,15
4262,15
6325,15
20636,15
13944,15
43576,15
3779,15
65628,15
10152,15
78980,15
34800,15
42774,15
15558,15
31534,15
24222,15
31486,15
78095,15
36482,15
38290,15
15060,15
71790,15
38892,15
73686,15
13650,15
32713,15
27597,15
76618,15
54388,15
6220,15
50320,15
67074,15
53337,15
46713,15
62818,15
51842,15
74777,15
199,15
35312,15
27312,15
15173,15
70245,15
57711,15
23416,15
67268,15
43504,15
72769,15
67592,15
23476,15
50694,15
48520,15
