algorithm,topology,generations,converged,time_taken,hv
genesis,25n50e,1,True,208.52999999999997,1.051502182244629
genesis,25n50e,1,True,181.09000000000003,1.0234485510137463
genesis,25n50e,1,True,198.88,1.050498712415219
genesis,25n50e,1,True,197.55999999999995,1.0523605720987028
genesis,25n50e,5,True,387.0,1.0250202507465571
genesis,25n50e,1,True,192.42999999999995,1.051429642256961
genesis,dc,13,True,577.01,1.061308782577507
genesis,dc,10,True,469.30999999999995,1.064968021955436
genesis,dc,1,True,232.89999999999998,1.0288648700929723
genesis,dc,3,True,281.36,1.032624053453911
genesis,dc,17,True,706.4100000000001,1.04597947118349
genesis,dc,12,True,567.23,1.0521647141319985
genesis,dc,9,True,2381.71,1.0365653927838834
genesis,dc,5,True,351.6600000000001,1.0337282732661934
genesis,dc,14,True,2503.26,1.047111900990977
genesis,dc,6,True,439.53,1.046305901127997
genesis,dc,15,True,593.48,1.0576455132002627
genesis,dc,7,True,1368.0,1.0295419099778753
genesis,dc,5,True,1346.83,1.0613410225720261
genesis,dc,1,True,218.64,1.0238475209459217
genesis,dc,5,True,1379.13,1.0445085214335512
genesis,dc,1,True,229.08000000000004,1.0283450001813499
genesis,dc,7,True,1304.19,1.046656511068393
genesis,dc,8,True,449.54999999999995,1.02975146994225
genesis,dc,21,True,3596.75,1.0623847923945853
genesis,dc,2,True,262.65,1.028828600099138
genesis,milan,10,True,2978.3,1.0267128504588154
genesis,milan,8,True,2450.93,1.021876851280935
genesis,milan,2,True,912.5999999999999,1.0139216326333225
genesis,milan,7,True,2177.07,1.0327578494311653
genesis,milan,6,True,2053.65,1.0231100310712946
genesis,milan,16,True,4256.84,1.034837329077654
genesis,milan,8,True,2280.11,1.0182256719016356
genesis,milan,40,True,9295.79,1.048652569729063
genesis,milan,1,True,574.48,1.013377582725811
genesis,milan,1,True,587.81,1.0218164012912119
genesis,milan,1,True,675.74,1.013329222734032
genesis,milan,5,True,1567.4899999999998,1.0181894019078017
genesis,milan,3,True,1080.9,1.020438141525516
genesis,milan,13,True,3559.41,1.0281273802183455
genesis,milan,32,True,6723.93,1.06698946961179
genesis,milan,4,True,1374.21,1.020305151548124
genesis,milan,14,True,3588.6000000000004,1.0318148295914786
genesis,milan,31,True,7843.25,1.0354176489789997
genesis,milan,24,True,5512.11,1.0331326393674514
genesis,milan,24,True,5039.72,1.0359133388947326
