mutation_pb,individual_pb,crossover_pb,runs,mean_generations,median_generations,max_generations,min_generations,q1_generations,q3_generations,iqr_generations,ci_generations,generations_upper_lower,std_deviation_generations,converged_number,convergence_percent,mean_time_taken,std_deviation_time_taken,q1_time_taken,q3_time_taken,iqr_time_taken,ci_time_taken,time_taken_upper_lower
0.7,1.0,0.5,20,51.7,39.5,100,4,20.25,100.0,79.75,17.5,34.2-69.2,37.39,13,65.0,156.26,113.27,60.28,299.75,239.47,53.01,103.25-209.27
0.7,1.0,0.7,20,39.4,29.5,100,2,15.75,50.25,34.5,15.47,23.93-54.87,33.05,16,80.0,218.24,182.48,89.1,284.2,195.1,85.4,132.84-303.64
0.7,1.0,1.0,20,49.1,34.0,100,6,12.75,100.0,87.25,18.7,30.4-67.8,39.96,13,65.0,290.32,237.05,74.86,588.62,513.76,110.94,179.38-401.26
1.0,0.2,0.2,20,71.1,100.0,100,5,41.5,100.0,58.5,16.63,54.47-87.73,35.54,9,45.0,248.46,141.8,137.11,398.43,261.32,66.36,182.1-314.82
1.0,0.2,0.5,20,56,51.0,100,1,10.5,100.0,89.5,19.02,36.98-75.02,40.64,12,60.0,170.77,123.53,32.17,299.39,267.22,57.82,112.95-228.59
1.0,0.2,0.7,20,44.05,35.5,100,1,13.75,71.5,57.75,16.84,27.21-60.89,35.99,15,75.0,247.8,202.57,77.45,396.13,318.69,94.8,153.0-342.6
1.0,0.2,1.0,20,47.35,29.5,100,2,13.75,100.0,86.25,18.84,28.51-66.19,40.25,13,65.0,281.43,239.69,80.96,592.46,511.51,112.18,169.25-393.61
1.0,0.5,0.2,20,79.35,100.0,100,1,62.25,100.0,37.75,15.51,63.84-94.86,33.15,8,40.0,332.68,138.53,263.29,421.04,157.74,64.83,267.85-397.51
1.0,0.5,0.5,20,56.65,56.5,100,1,15.75,100.0,84.25,19.73,36.92-76.38,42.17,11,55.0,174.83,130.26,48.78,309.54,260.76,60.96,113.87-235.79
1.0,0.5,0.7,20,51.4,44.0,100,1,17.0,100.0,83.0,17.8,33.6-69.2,38.04,13,65.0,289.6,214.28,97.32,554.08,456.76,100.29,189.31-389.89
1.0,0.5,1.0,20,33.65,25.0,100,2,10.0,42.25,32.25,14.73,18.92-48.38,31.48,17,85.0,204.55,193.2,57.69,251.8,194.1,90.42,114.13-294.97
1.0,0.7,0.2,20,84.05,100.0,100,1,91.0,100.0,9.0,14.47,69.58-98.52,30.91,5,25.0,352.66,129.86,370.7,422.1,51.4,60.77,291.89-413.43
1.0,0.7,0.5,20,63.05,69.5,100,2,18.25,100.0,81.75,18.08,44.97-81.13,38.63,12,60.0,196.56,120.88,56.32,309.71,253.4,56.57,139.99-253.13
1.0,0.7,0.7,20,52.2,50.0,100,1,10.75,100.0,89.25,19.78,32.42-71.98,42.27,13,65.0,294.42,239.43,58.05,563.21,505.16,112.06,182.36-406.48
1.0,0.7,1.0,20,41.85,27.0,100,3,12.5,70.0,57.5,17.05,24.8-58.9,36.43,15,75.0,253.51,221.49,74.65,424.68,350.02,103.66,149.85-357.17
1.0,1.0,0.2,20,63.85,100.0,100,5,13.5,100.0,86.5,19.49,44.36-83.34,41.63,9,45.0,272.81,178.35,57.15,428.42,371.27,83.47,189.34-356.28
1.0,1.0,0.5,20,54.4,51.5,100,1,12.75,100.0,87.25,18.82,35.58-73.22,40.21,13,65.0,171.68,127.1,39.11,314.35,275.24,59.49,112.19-231.17
1.0,1.0,0.7,20,61.8,70.5,100,8,26.5,100.0,73.5,18.26,43.54-80.06,39.01,10,50.0,352.4,224.19,149.17,573.46,424.29,104.92,247.48-457.32
1.0,1.0,1.0,20,35.55,16.0,100,3,6.75,53.5,46.75,17.94,17.61-53.49,38.34,15,75.0,142.38,144.35,31.34,263.14,231.8,67.56,74.82-209.94
