method, generation, latency, ar
surrogate, 62, 45.0, 0.875
surrogate, 63, 47.0, 0.8875
surrogate, 63, 45.0, 0.875
surrogate, 63, 45.0, 0.875
surrogate, 64, 47.0, 0.8875
surrogate, 64, 45.0, 0.875
surrogate, 64, 45.0, 0.875
surrogate, 64, 45.0, 0.875
surrogate, 65, 47.0, 0.8875
surrogate, 65, 45.0, 0.875
surrogate, 65, 45.0, 0.875
surrogate, 65, 45.0, 0.875
surrogate, 66, 47.0, 0.8875
surrogate, 66, 45.0, 0.875
surrogate, 66, 45.0, 0.875
surrogate, 66, 45.0, 0.875
surrogate, 67, 47.0, 0.8875
surrogate, 67, 45.0, 0.875
surrogate, 67, 45.0, 0.875
surrogate, 67, 45.0, 0.875
surrogate, 68, 47.0, 0.8875
surrogate, 68, 45.0, 0.875
surrogate, 68, 45.0, 0.875
surrogate, 68, 45.0, 0.875
surrogate, 69, 47.0, 0.8875
surrogate, 69, 45.0, 0.875
surrogate, 69, 45.0, 0.875
surrogate, 69, 45.0, 0.875
surrogate, 69, 45.0, 0.875
surrogate, 70, 47.0, 0.8875
surrogate, 70, 45.0, 0.875
surrogate, 70, 45.0, 0.875
surrogate, 70, 45.0, 0.875
surrogate, 70, 45.0, 0.875
surrogate, 71, 47.0, 0.8875
surrogate, 71, 45.0, 0.875
surrogate, 71, 45.0, 0.875
surrogate, 71, 45.0, 0.875
surrogate, 71, 45.0, 0.875
surrogate, 72, 47.0, 0.8875
surrogate, 72, 45.0, 0.875
surrogate, 72, 45.0, 0.875
surrogate, 72, 45.0, 0.875
surrogate, 72, 45.0, 0.875
surrogate, 73, 47.0, 0.8875
surrogate, 73, 45.0, 0.875
surrogate, 73, 45.0, 0.875
surrogate, 73, 45.0, 0.875
surrogate, 73, 45.0, 0.875
surrogate, 74, 47.0, 0.8875
surrogate, 74, 45.0, 0.875
surrogate, 74, 45.0, 0.875
surrogate, 74, 45.0, 0.875
surrogate, 74, 45.0, 0.875
surrogate, 75, 47.0, 0.8875
surrogate, 75, 45.0, 0.875
surrogate, 75, 45.0, 0.875
surrogate, 75, 45.0, 0.875
surrogate, 75, 45.0, 0.875
surrogate, 76, 47.0, 0.8875
surrogate, 76, 45.0, 0.875
surrogate, 76, 45.0, 0.875
surrogate, 76, 45.0, 0.875
surrogate, 76, 45.0, 0.875
surrogate, 77, 47.0, 0.8875
surrogate, 77, 45.0, 0.875
surrogate, 77, 45.0, 0.875
surrogate, 77, 45.0, 0.875
surrogate, 77, 45.0, 0.875
surrogate, 78, 47.0, 0.8875
surrogate, 78, 45.0, 0.875
surrogate, 78, 45.0, 0.875
surrogate, 78, 45.0, 0.875
surrogate, 78, 45.0, 0.875
surrogate, 79, 47.0, 0.8875
surrogate, 79, 45.0, 0.875
surrogate, 79, 45.0, 0.875
surrogate, 79, 45.0, 0.875
surrogate, 79, 45.0, 0.875
surrogate, 80, 47.0, 0.8875
surrogate, 80, 45.0, 0.875
surrogate, 80, 45.0, 0.875
surrogate, 80, 45.0, 0.875
surrogate, 80, 45.0, 0.875
surrogate, 81, 47.0, 0.8875
surrogate, 81, 45.0, 0.875
surrogate, 81, 45.0, 0.875
surrogate, 81, 45.0, 0.875
surrogate, 81, 45.0, 0.875
surrogate, 82, 47.0, 0.8875
surrogate, 82, 45.0, 0.875
surrogate, 82, 45.0, 0.875
surrogate, 82, 45.0, 0.875
surrogate, 82, 45.0, 0.875
surrogate, 83, 47.0, 0.8875
surrogate, 83, 45.0, 0.875
surrogate, 83, 45.0, 0.875
surrogate, 83, 45.0, 0.875
surrogate, 83, 45.0, 0.875
surrogate, 84, 47.0, 0.8875
surrogate, 84, 45.0, 0.875
surrogate, 84, 45.0, 0.875
surrogate, 84, 45.0, 0.875
surrogate, 84, 45.0, 0.875
surrogate, 85, 47.0, 0.8875
surrogate, 85, 45.0, 0.875
surrogate, 85, 45.0, 0.875
surrogate, 85, 45.0, 0.875
surrogate, 85, 45.0, 0.875
surrogate, 86, 47.0, 0.8875
surrogate, 86, 45.0, 0.875
surrogate, 86, 45.0, 0.875
surrogate, 86, 45.0, 0.875
surrogate, 86, 45.0, 0.875
surrogate, 87, 47.0, 0.8875
surrogate, 87, 45.0, 0.875
surrogate, 87, 45.0, 0.875
surrogate, 87, 45.0, 0.875
surrogate, 87, 45.0, 0.875
surrogate, 88, 47.0, 0.8875
surrogate, 88, 45.0, 0.875
surrogate, 88, 45.0, 0.875
surrogate, 88, 45.0, 0.875
surrogate, 88, 45.0, 0.875
surrogate, 89, 47.0, 0.8875
surrogate, 89, 45.0, 0.875
surrogate, 89, 45.0, 0.875
surrogate, 89, 45.0, 0.875
surrogate, 89, 45.0, 0.875
