generation,avg_ar,max_ar,min_ar,avg_latency,max_latency,min_latency
80,0.07125,0.125,0.03125,238.93410302707238,548.1891037155513,92.46307440123472
81,0.0671875,0.125,0.0,220.2691774504343,553.872243006395,0.0
82,0.0684375,0.125,0.03125,227.5955019368301,558.1537372785499,96.89556249494048
83,0.0725,0.15625,0.03125,246.15725678923025,725.3916428092914,96.89556249494048
84,0.07375,0.1875,0.03125,249.1509228124583,885.7035327801378,96.89556249494048
85,0.0771875,0.15625,0.03125,267.6494011225044,621.0410244680255,92.46307440123472
86,0.07375,0.15625,0.03125,251.51384133505795,657.078569599892,96.89556249494048
87,0.0690625,0.125,0.03125,229.6939687099094,528.626659897161,96.89556249494048
88,0.0728125,0.1875,0.03125,244.17213460995976,834.7438003074919,96.89556249494048
89,0.075,0.125,0.03125,252.60353405931556,550.5110128704791,96.89556249494048
90,0.0746875,0.15625,0.03125,249.86111672887873,638.689174186779,96.89556249494048
91,0.074375,0.15625,0.03125,246.359956652647,631.6362162107113,96.89556249494048
92,0.075625,0.15625,0.0625,250.57460539109903,572.3704869704118,189.3586368961752
93,0.0796875,0.15625,0.0625,270.81720279493294,653.4021601700431,189.3586368961752
94,0.0825,0.125,0.0625,276.40787154332554,535.7054505774838,189.3586368961752
95,0.0771875,0.15625,0.0625,258.00587196878206,680.7977444676377,189.3586368961752
96,0.0765625,0.125,0.03125,253.24139380455873,559.324377916113,96.89556249494048
97,0.07875,0.1875,0.0625,260.30879769985603,762.7212642858736,189.3586368961752
98,0.0878125,0.15625,0.0625,301.81829630256345,695.8309988517464,189.3586368961752
99,0.0884375,0.21875,0.0625,302.0390762931377,922.8156889800114,189.3586368961752
100,0.0940625,0.15625,0.0625,319.0613632676992,692.4285880462087,189.3586368961752
101,0.099375,0.1875,0.0625,332.581687157942,770.8194708674732,189.3586368961752
102,0.0990625,0.15625,0.0625,330.9405168695308,623.2306333645377,189.3586368961752
103,0.0965625,0.15625,0.0625,321.7256426813787,611.9424113914043,189.3586368961752
104,0.0965625,0.1875,0.0625,321.1188811139563,771.8905985098199,189.3586368961752
105,0.098125,0.1875,0.03125,328.56781749988824,762.2665556335346,96.89556249494048
106,0.09125,0.1875,0.03125,302.47113733815115,767.8233096544766,96.89556249494048
107,0.0875,0.21875,0.0625,292.4866914339081,903.9836085274954,189.3586368961752
108,0.091875,0.1875,0.0625,309.7191104976733,738.4925372130175,189.3586368961752
109,0.09375,0.15625,0.0625,318.17214395446337,706.524736682583,189.3586368961752
110,0.0975,0.25,0.0625,330.71810038323304,1089.4566464319869,189.3586368961752
111,0.10375,0.1875,0.0625,353.5675333653294,872.806369675172,189.3586368961752
112,0.1103125,0.21875,0.0625,378.5792800423649,921.1059930294294,189.3586368961752
113,0.1134375,0.1875,0.0625,388.4286083521962,815.4225683908662,189.3586368961752
114,0.1146875,0.1875,0.0625,393.09339531002223,786.1349266625894,189.3586368961752
115,0.1096875,0.1875,0.09375,369.5193871018944,721.0966376080278,285.2019806385859
116,0.1096875,0.1875,0.09375,367.9332426593948,745.497378875113,285.2019806385859
117,0.1153125,0.1875,0.09375,391.6540814475006,835.8496978036426,285.2019806385859
118,0.1125,0.1875,0.0625,374.0998871494722,764.2333702308869,189.3586368961752
119,0.10625,0.15625,0.0625,344.7624670743629,621.4848115651344,189.3586368961752
120,0.105,0.1875,0.0625,341.23198561126316,755.4281714667443,189.3586368961752
121,0.1034375,0.15625,0.0625,336.3105386111316,628.6597412446098,189.3586368961752
122,0.104375,0.1875,0.0625,341.7638122099478,724.8426864403833,189.3586368961752
